5
d1																																																																																																												
arm	6	1	5	1	4	1	3	2	2	3	2	4	2	5	2	6	2	7	3	8	4	9	5	10	6	10	7	10	8	10	7	9	6	8	5	7	4	6	3	5	2	4	1	3	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	9	9	8	8	7	7	6	6	5	5	4	4	3	3	3	2	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	10	9										
obj 1	2	3	2	3	2	3	2	3	2	3	2	4	2	5	2	6	2	7	3	8	4	9	5	10	6	10	7	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10										
obj 2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10										
obj 3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	10	10										
d2																																																																																																												
arm	6	1	5	2	4	2	3	2	2	2	3	3	4	4	5	5	6	6	7	7	8	7	9	8	10	9	10	10	10	9	10	8	9	7	8	6	7	5	6	4	5	3	4	2	3	2	2	2	1	2	1	3	1	4	2	5	3	6	4	7	5	8	6	9	7	10	8	10	9	10	9	9	9	8	9	7	8	6	7	5	6	4	5	3	4	3	3	3	2	3	2	4	3	5	4	6	5	7	6	8	7	9	8	10	9	9	10	9
obj 1	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	4	3	5	4	6	5	7	6	8	7	9	8	10	8	10	8	10
obj 2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	3	1	4	2	5	3	6	4	7	5	8	6	9	7	10	8	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10
obj 3	2	2	2	2	2	2	2	2	2	2	3	3	4	4	5	5	6	6	7	7	8	7	9	8	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
d3																																																																																																												
arm	6	1	5	2	4	3	3	3	2	3	2	4	3	5	4	5	5	6	6	7	7	8	8	9	8	10	8	9	8	8	8	7	8	6	7	5	6	4	5	3	4	2	3	2	2	2	3	2	4	2	5	3	6	4	7	5	8	6	9	7	9	8	9	9	9	10	10	10	9	9	8	8	7	7	6	6	5	5	4	4	3	3	2	2	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	9				
obj 1	2	3	2	3	2	3	2	3	2	3	2	4	3	5	4	5	5	6	6	7	7	8	8	9	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10				
obj 2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	9	10				
obj 3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	2	5	3	6	4	7	5	8	6	9	7	9	8	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				
d4																																																																																																												
arm	6	1	5	1	4	1	3	1	2	1	1	1	1	2	2	1	3	2	4	3	5	4	6	5	7	6	8	7	9	8	9	9	9	10	9	9	8	9	7	8	6	7	5	7	4	6	3	5	2	4	2	3	2	4	2	5	3	6	4	7	5	8	6	9	7	10	8	10	7	9	7	8	7	7	7	6	6	5	5	4	4	3	3	2	2	2	3	2	4	3	5	4	6	5	7	6	8	7	9	8	10	9	10	10	10	9		
obj 1	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	4	2	5	3	6	4	7	5	8	6	9	7	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10		
obj 2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	1	3	2	4	3	5	4	6	5	7	6	8	7	9	8	9	9	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10	9	10		
obj 3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	3	5	4	6	5	7	6	8	7	9	8	10	9	10	10	10	10		
d5																																																																																																												
arm	6	1	5	1	4	1	3	2	2	3	3	3	4	3	5	4	6	5	7	6	7	7	8	8	8	9	8	10	7	10	6	9	6	8	6	7	5	6	4	5	3	4	2	3	1	2	1	3	2	4	3	5	4	6	5	7	6	8	7	9	8	9	9	10	9	9	9	8	9	7	8	6	8	5	7	4	6	3	5	2	4	2	3	2	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	10	9				
obj 1	2	3	2	3	2	3	2	3	2	3	3	3	4	3	5	4	6	5	7	6	7	7	8	8	8	9	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10	8	10				
